,dlpno,pbe0,opt_hfx,pred_hfx
Co_CEWTUT_comp_0_42_LS,1.3723156029000059,1.3909713527000171,1.4071351545759705,1.4237705238635525
Fe_SEDQOI_comp_0_111111_HS,1.8994304434999947,1.741546423199992,1.8510531279490463,1.8490298258899989
Co_BOTQEH_comp_0_222_HS,1.7255563835999723,1.627458823600005,1.6558980780323103,1.6179509566093953
Fe_LELJAQ_comp_0_111111_LS,0.9733605299000239,0.9826920766999869,1.196369211676642,1.2026188111937166
Co_DOCZOK_comp_0_2211_HS,1.4211703789000083,1.3763756431999852,1.3937880230127688,1.3064372017891244
Fe_XOPSEB_comp_0_411_LS,1.2188936679999962,1.1172462242999721,1.1472064191453015,1.1597123885461007
Co_DETCON_comp_0_33_LS,1.1381583284000172,1.2637989728000072,1.2500302242160293,1.249392017097658
Co_ZEZJAP_comp_0_222_HS,1.4116483329999774,1.3131742287000314,1.3564950730796215,1.3103922390762968
Co_AFULAO_comp_0_411_LS,1.2464756860000001,1.2753755651000134,1.2501561885218002,1.283909851521176
Co_CULQIJ_comp_0_411_LS,1.0929864618000202,1.1970267189999788,1.2118800963840963,1.1855661188317137
Co_QOJFOK_comp_0_321_LS,1.0806049800999773,1.176484565599985,1.1787296079958844,1.1215614696368505
Fe_AQIYOO_comp_1_3111_LS,1.1403856626999591,1.039693072500011,1.0765825547632353,1.1326298766061058
Fe_HIYRUE_comp_0_111111_HS,1.85049717610001,1.6917070890999817,1.8394246282641933,1.8235432881662397
Co_YICJAV_comp_0_411_HS,1.2021923794000067,1.1497308273999778,1.2020257491366373,1.1108595153263279
Co_PODWAG_comp_0_222_HS,1.7864078705999908,1.6532568983000004,1.667035003037776,1.7021842512727736
Fe_KIJNEW_comp_4_6_LS,0.9150053739999784,0.7977086984999993,0.8589182417764276,0.8236453626631409
Co_ADETCO_comp_0_3111_HS,1.836082549800011,1.795731020700007,1.8014503178026682,1.7451975424392692
Co_DAYKOD_comp_1_2211_HS,2.0090217074999757,1.923833863499972,1.9256826300875143,1.8810980558610433
Co_CAASPC_comp_3_33_LS,1.4452979216999964,1.4431611796999668,1.4631191630617773,1.4750215583361115
Co_GASCEI_comp_0_33_LS,1.3253442767000116,1.3580355633999943,1.3607286225364537,1.3338058815681013
Co_ENGCOA_comp_0_222_LS,1.4045292047999567,1.407599316600006,1.43439869999933,1.4373721341286907
Mn_LEZMEK_comp_1_111111_HS,1.2504649252999975,1.2659682881999963,1.2696647440139028,1.2610995475296944
Co_LOFFUH_comp_0_321_HS,1.6010159744000454,1.5194657899000106,1.606120268739418,1.5134675545056393
Fe_QAXDOJ_comp_2_222_LS,1.2641009868999902,1.1442526471999983,1.1924281506165073,1.1907140396669476
Co_ILASAR_comp_0_51_LS,1.1432518915000287,1.2747397631000368,1.2192507899913687,1.2288028425970507
Fe_GLYCFE_comp_2_111111_LS,1.6309489973000026,1.5234387841999784,1.553816233531854,1.5682876234889156
Mn_MEDHOS_comp_0_3111_LS,1.069064916900004,0.9224515435000029,0.9219823474725678,0.9243198043535991
Fe_PAZXAP_comp_0_6_LS,1.1950343819999993,1.0909845171999955,1.1148381240412957,1.152495018605772
Fe_JOWGEH_comp_0_222_LS,1.295272572000016,1.2000348734999875,1.2307573792509485,1.240275461902214
Fe_EYEWOV_comp_0_33_HS,1.4358815651000256,1.3477887373999984,1.3755422245983449,1.3744716621929036
Co_PODWAG_comp_0_222_LS,1.4160872500000075,1.4207852574999862,1.4327061721074095,1.4632843253924084
Fe_KIJNEW_comp_4_6_HS,1.1407605963000194,1.0332700473999488,1.0738308300612478,1.0504830876428741
Co_ADETCO_comp_0_3111_LS,1.4431981534000151,1.5373077126000076,1.5426111146198684,1.4914931218380132
Co_GASCEI_comp_0_33_HS,1.6914044135999795,1.5953594093000163,1.5983880392750194,1.566656698172544
Co_CAASPC_comp_3_33_HS,1.817634157200036,1.6853249040999678,1.7063920365761016,1.7189578118610058
Co_DAYKOD_comp_1_2211_LS,1.5868624920999927,1.6588537822000369,1.6605367062324434,1.6224538083740248
Co_ENGCOA_comp_0_222_HS,1.7449563919999989,1.6373477478000424,1.666896235770315,1.6701745078866599
Mn_LEZMEK_comp_1_111111_LS,1.2034848520000168,1.0833263054999982,1.0812924403793385,1.0869340115098247
Co_LOFFUH_comp_0_321_LS,1.1911511948000104,1.2463904426999797,1.330603880071627,1.2407683387146284
Fe_QAXDOJ_comp_2_222_HS,1.435563100799989,1.3515386266999876,1.3797740613438592,1.378725755770816
Fe_GLYCFE_comp_2_111111_HS,1.7392001556999936,1.6722295956999922,1.6904311741260658,1.6990242348078037
Co_ILASAR_comp_0_51_HS,1.509402743700015,1.4259861342000093,1.4082574478563872,1.4123146760502236
Mn_MEDHOS_comp_0_3111_HS,1.145479404699966,1.129106318400023,1.1342233409750866,1.106556631036192
Fe_PAZXAP_comp_0_6_HS,1.3942056343999845,1.316930680399988,1.3303110920541001,1.3538666987150276
Fe_JOWGEH_comp_0_222_HS,1.4644788468000058,1.4092825018999697,1.4239798500742513,1.4282461165161005
Fe_EYEWOV_comp_0_33_LS,1.2568432324000192,1.1351974118000108,1.1809324102598817,1.1792598483078696
Co_CEWTUT_comp_0_42_HS,1.7290670540999642,1.6255901374000175,1.643019923580303,1.6609631608076814
Fe_SEDQOI_comp_0_111111_LS,1.3562847356000205,1.3616777504999824,1.4684978528675179,1.4664110585804544
Fe_LELJAQ_comp_0_111111_HS,1.4124665590999754,1.252991557900014,1.4406790376526353,1.4459595419016225
Co_BOTQEH_comp_0_222_LS,1.347912273999988,1.3773719228000054,1.4041686934486561,1.3682319839654977
Co_DOCZOK_comp_0_2211_LS,1.0422449355000083,1.1155819900000132,1.1316297154129247,1.0549332606927002
Fe_XOPSEB_comp_0_411_HS,1.4195787580000356,1.3382947027999634,1.3579274682963705,1.3653926782556098
Co_DETCON_comp_0_33_HS,1.6164991073999744,1.5265039662000284,1.514992181475751,1.51445502856495
Co_ZEZJAP_comp_0_222_LS,1.2164265910999674,1.2374704494,1.3217166870152932,1.232893063855129
Co_AFULAO_comp_0_411_HS,1.6045387292000086,1.4868183936000108,1.4576607308697915,1.4968571006396005
Co_CULQIJ_comp_0_411_HS,1.5257603552000099,1.4555999519999787,1.4718925561322085,1.443949538414112
Co_QOJFOK_comp_0_321_HS,1.480780883499996,1.4338935624999962,1.4363814212391335,1.373801214167203
Fe_AQIYOO_comp_1_3111_HS,1.3315921293999686,1.2395199444000262,1.265788158519979,1.3006905250471057
Fe_HIYRUE_comp_0_111111_LS,1.3067571899000079,1.3336150931999917,1.5018526776682621,1.4836164002669798
Co_YICJAV_comp_0_411_LS,0.7935852123999894,0.8906039373999945,0.9391161530191808,0.8546637221083666
