Unnamed: 0,ox_state,tot_lig_charge
Co_VARVOA_comp_0_51,3,-1
Fe_EMEBEF_comp_0_111111,3,0
Fe_CACDOC_comp_1_111111,2,0
Fe_CACDIW_comp_0_111111,2,0
Fe_LOJJEZ_comp_0_411,3,-2
Mn_GEGLIP_comp_0_3111,1,0
Co_BOTQEH_comp_0_222,3,-1
Fe_AQIYII_comp_0_21111,2,-3
Fe_LELJAQ_comp_0_111111,3,-2
Fe_NOZZOU_comp_1_111111,2,0
Fe_XOPSEB_comp_0_411,2,-1
Co_CULQIJ_comp_0_411,3,-1
Co_SEVMUB_comp_0_42,3,-1
Fe_GEQPOH_comp_0_33,2,0
Co_QOJFOK_comp_0_321,3,0
Fe_RUHLUB_comp_0_411,3,-2
Mn_PUKJIR_comp_0_111111,2,0
Mn_LEZMEK_comp_1_111111,1,0
Fe_AQIYOO_comp_1_3111,2,-3
Co_AFULAO_comp_0_411,3,-2
Co_ENGCOA_comp_0_222,3,-2
Co_CAASPC_comp_3_33,3,-4
Fe_DETTUR_comp_0_33,3,0
Co_GASCEI_comp_0_33,3,-2
Co_CEWTUT_comp_0_42,3,-2
Mn_FARTOH_comp_0_3111,3,-3
Fe_NAXPAD_comp_0_33,2,0
Co_ZEZJAP_comp_0_222,3,-2
Fe_SELFAQ_comp_1_111111,2,0
Mn_MNACAC_comp_0_2211,2,-2
Fe_KAWTUX_comp_2_33,3,0
Fe_VOBHUP_comp_0_2211,3,-2
Fe_WABHIR_comp_0_111111,2,-4
Mn_FAMBOL_comp_1_111111,2,0
Co_DAYKOD_comp_1_2211,3,-2
Mn_QETLAC_comp_0_2211,2,0
Fe_MICYFE10_comp_1_111111,2,0
Fe_PAZXAP_comp_0_6,2,0
Fe_GESJOG_comp_0_3111,2,-1
Fe_BQIFEC10_comp_0_21111,2,-4
Co_LUJXAP_comp_0_321,3,-1
Fe_CEHHON_comp_0_111111,2,0
Fe_HIYRUE_comp_0_111111,3,-5
Fe_EVOKOP_comp_1_111111,3,-6
Fe_XIQFIN_comp_1_111111,3,-6
Mn_AQAWIY_comp_0_411,3,-2
Co_ADETCO_comp_0_3111,3,-1
Fe_ACAKOF_comp_0_111111,2,-4
Fe_SEDQOI_comp_0_111111,3,-5
Fe_AMAVOB_comp_0_111111,2,0
Fe_EYEWOV_comp_0_33,2,0
Fe_JOWGEH_comp_0_222,2,0
Mn_VUMSON_comp_0_111111,3,-4
Co_DETCON_comp_0_33,3,0
Co_DABUCO_comp_1_33,3,-2
Fe_KUNKEJ_comp_0_111111,3,-2
Co_ILASAR_comp_0_51,3,-1
Fe_GLYCFE_comp_2_111111,2,0
Fe_QAXDOJ_comp_2_222,2,0
Fe_XILLEK_comp_0_111111,2,-1
Co_PODWAG_comp_0_222,3,-2
Fe_KIJNEW_comp_4_6,2,0
Fe_SASXES_comp_2_111111,3,-5
Mn_MEDHOS_comp_0_3111,1,0
Co_YICJAV_comp_0_411,3,-1
Co_DOCZOK_comp_0_2211,3,-1
Fe_NEJBOT_comp_0_111111,2,0
Fe_MENXIN_comp_1_2211,3,-2
Co_DATMCO_comp_1_111111,3,-2
Co_LOFFUH_comp_0_321,3,-2
Fe_NUBTOW_comp_0_111111,2,0
Fe_SANLAU_comp_0_6,3,0
